 faa.[ 13c] x8C230004 ldi	g1=524252 g3=10 4
10bd.[ 203] x200A0000 addi	g0=0 g10=0 0
10be.[ 204] x08000209 jmp	209
10bf.[ 209] x0800020E jmp	20e
10c0.[ 20e] x200703E8 addi	g0=0 g7=10000 1000
10c1.[ 20f] x20050000 addi	g0=0 g5=0 0
10c2.[ 210] x2006000A addi	g0=0 g6=1 10
10c3.[ 211] xAC280014 sti	g1=524244 g8=250 20
10c4.[ 212] x4021001C subi	g1=524244 g1=524244 28
10c5.[ 213] xC0000184 call	184
10c6.[ 184] x00A61820 add	g3=0 g5=0 g6=10
10c7.[ 185] xA8640001 srli	g3=10 g4=0 1
10c8.[ 186] x00874818 mul	g9=0 g4=5 g7=1000
10c9.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
10ca.[ 188] x6B830003 jlt	g28=1 g3=10 3
10cb.[ 18b] x69280006 jlt	g9=5000 g8=250 6
10cc.[ 18c] x49280003 jne	g9=5000 g8=250 3
10cd.[ 18f] x20860000 addi	g4=5 g6=10 0
10ce.[ 190] x08000184 jmp	184
10cf.[ 184] x00A61820 add	g3=10 g5=0 g6=5
10d0.[ 185] xA8640001 srli	g3=5 g4=5 1
10d1.[ 186] x00874818 mul	g9=5000 g4=2 g7=1000
10d2.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
10d3.[ 188] x6B830003 jlt	g28=1 g3=5 3
10d4.[ 18b] x69280006 jlt	g9=2000 g8=250 6
10d5.[ 18c] x49280003 jne	g9=2000 g8=250 3
10d6.[ 18f] x20860000 addi	g4=2 g6=5 0
10d7.[ 190] x08000184 jmp	184
10d8.[ 184] x00A61820 add	g3=5 g5=0 g6=2
10d9.[ 185] xA8640001 srli	g3=2 g4=2 1
10da.[ 186] x00874818 mul	g9=2000 g4=1 g7=1000
10db.[ 187] x00C51822 sub	g3=2 g6=2 g5=0
10dc.[ 188] x6B830003 jlt	g28=1 g3=2 3
10dd.[ 18b] x69280006 jlt	g9=1000 g8=250 6
10de.[ 18c] x49280003 jne	g9=1000 g8=250 3
10df.[ 18f] x20860000 addi	g4=1 g6=2 0
10e0.[ 190] x08000184 jmp	184
10e1.[ 184] x00A61820 add	g3=2 g5=0 g6=1
10e2.[ 185] xA8640001 srli	g3=1 g4=1 1
10e3.[ 186] x00874818 mul	g9=1000 g4=0 g7=1000
10e4.[ 187] x00C51822 sub	g3=1 g6=1 g5=0
10e5.[ 188] x6B830003 jlt	g28=1 g3=1 3
10e6.[ 189] x20A30000 addi	g5=0 g3=1 0
10e7.[ 18a] xE0000000 return
10e8.[ 214] x2021001C addi	g1=524216 g1=524216 28
10e9.[ 215] x606403E8 muli	g3=0 g4=0 1000
10ea.[ 216] x8C280014 ldi	g1=524244 g8=250 20
10eb.[ 217] x01044022 sub	g8=250 g8=250 g4=0
10ec.[ 218] x68030009 jlt	g0=0 g3=0 9
10ed.[ 219] x49400003 jne	g10=0 g0=0 3
10ee.[ 21a] x200B0000 addi	g0=0 g11=0 0
10ef.[ 21b] x08000220 jmp	220
10f0.[ 220] x08000225 jmp	225
10f1.[ 225] x20070064 addi	g0=0 g7=1000 100
10f2.[ 226] x20050000 addi	g0=0 g5=0 0
10f3.[ 227] x2006000A addi	g0=0 g6=1 10
10f4.[ 228] xAC280018 sti	g1=524244 g8=250 24
10f5.[ 229] x40210020 subi	g1=524244 g1=524244 32
10f6.[ 22a] xC0000184 call	184
10f7.[ 184] x00A61820 add	g3=0 g5=0 g6=10
10f8.[ 185] xA8640001 srli	g3=10 g4=0 1
10f9.[ 186] x00874818 mul	g9=0 g4=5 g7=100
10fa.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
10fb.[ 188] x6B830003 jlt	g28=1 g3=10 3
10fc.[ 18b] x69280006 jlt	g9=500 g8=250 6
10fd.[ 18c] x49280003 jne	g9=500 g8=250 3
10fe.[ 18f] x20860000 addi	g4=5 g6=10 0
10ff.[ 190] x08000184 jmp	184
1100.[ 184] x00A61820 add	g3=10 g5=0 g6=5
1101.[ 185] xA8640001 srli	g3=5 g4=5 1
1102.[ 186] x00874818 mul	g9=500 g4=2 g7=100
1103.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
1104.[ 188] x6B830003 jlt	g28=1 g3=5 3
1105.[ 18b] x69280006 jlt	g9=200 g8=250 6
1106.[ 191] x20850000 addi	g4=2 g5=0 0
1107.[ 192] x08000184 jmp	184
1108.[ 184] x00A61820 add	g3=5 g5=2 g6=5
1109.[ 185] xA8640001 srli	g3=7 g4=2 1
110a.[ 186] x00874818 mul	g9=200 g4=3 g7=100
110b.[ 187] x00C51822 sub	g3=7 g6=5 g5=2
110c.[ 188] x6B830003 jlt	g28=1 g3=3 3
110d.[ 18b] x69280006 jlt	g9=300 g8=250 6
110e.[ 18c] x49280003 jne	g9=300 g8=250 3
110f.[ 18f] x20860000 addi	g4=3 g6=5 0
1110.[ 190] x08000184 jmp	184
1111.[ 184] x00A61820 add	g3=3 g5=2 g6=3
1112.[ 185] xA8640001 srli	g3=5 g4=3 1
1113.[ 186] x00874818 mul	g9=300 g4=2 g7=100
1114.[ 187] x00C51822 sub	g3=5 g6=3 g5=2
1115.[ 188] x6B830003 jlt	g28=1 g3=1 3
1116.[ 189] x20A30000 addi	g5=2 g3=1 0
1117.[ 18a] xE0000000 return
1118.[ 22b] x20210020 addi	g1=524212 g1=524212 32
1119.[ 22c] x60640064 muli	g3=2 g4=2 100
111a.[ 22d] x8C280018 ldi	g1=524244 g8=250 24
111b.[ 22e] x01044022 sub	g8=250 g8=250 g4=200
111c.[ 22f] x68030009 jlt	g0=0 g3=2 9
111d.[ 238] x20040030 addi	g0=0 g4=200 48
111e.[ 239] x00831820 add	g3=2 g4=48 g3=2
111f.[ 23a] x04600001 output	g3=50
1120.[ 23b] x200A0001 addi	g0=0 g10=0 1
1121.[ 23c] x2007000A addi	g0=0 g7=100 10
1122.[ 23d] x20050000 addi	g0=0 g5=2 0
1123.[ 23e] x2006000A addi	g0=0 g6=3 10
1124.[ 23f] xAC28001C sti	g1=524244 g8=50 28
1125.[ 240] x40210024 subi	g1=524244 g1=524244 36
1126.[ 241] xC0000184 call	184
1127.[ 184] x00A61820 add	g3=50 g5=0 g6=10
1128.[ 185] xA8640001 srli	g3=10 g4=48 1
1129.[ 186] x00874818 mul	g9=200 g4=5 g7=10
112a.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
112b.[ 188] x6B830003 jlt	g28=1 g3=10 3
112c.[ 18b] x69280006 jlt	g9=50 g8=50 6
112d.[ 18c] x49280003 jne	g9=50 g8=50 3
112e.[ 18d] x20830000 addi	g4=5 g3=10 0
112f.[ 18e] xE0000000 return
1130.[ 242] x20210024 addi	g1=524208 g1=524208 36
1131.[ 243] x6064000A muli	g3=5 g4=5 10
1132.[ 244] x8C28001C ldi	g1=524244 g8=50 28
1133.[ 245] x01042022 sub	g4=50 g8=50 g4=50
1134.[ 246] x68030009 jlt	g0=0 g3=5 9
1135.[ 24f] x20050030 addi	g0=0 g5=0 48
1136.[ 250] x00A31820 add	g3=5 g5=48 g3=5
1137.[ 251] x04600001 output	g3=53
1138.[ 252] x20050001 addi	g0=0 g5=48 1
1139.[ 253] x20030030 addi	g0=0 g3=53 48
113a.[ 254] x00641820 add	g3=48 g3=48 g4=0
113b.[ 255] x04600001 output	g3=48
113c.[ 256] xE0000000 return
