1141.[ 146] x8C230004 ldi	g1=524252 g3=10 4
11fa.[ 186] x00874818 mul	g9=0 g4=5 g7=100000
11fb.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
11fc.[ 188] x6B830003 jlt	g28=1 g3=10 3
11fd.[ 18b] x69280006 jlt	g9=500000 g8=260 6
11fe.[ 18c] x49280003 jne	g9=500000 g8=260 3
11ff.[ 18f] x20860000 addi	g4=5 g6=10 0
1200.[ 190] x08000184 jmp	184
1201.[ 184] x00A61820 add	g3=10 g5=0 g6=5
1202.[ 185] xA8640001 srli	g3=5 g4=5 1
1203.[ 186] x00874818 mul	g9=500000 g4=2 g7=100000
1204.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
1205.[ 188] x6B830003 jlt	g28=1 g3=5 3
1206.[ 18b] x69280006 jlt	g9=200000 g8=260 6
1207.[ 18c] x49280003 jne	g9=200000 g8=260 3
1208.[ 18f] x20860000 addi	g4=2 g6=5 0
1209.[ 190] x08000184 jmp	184
120a.[ 184] x00A61820 add	g3=5 g5=0 g6=2
120b.[ 185] xA8640001 srli	g3=2 g4=2 1
120c.[ 186] x00874818 mul	g9=200000 g4=1 g7=100000
120d.[ 187] x00C51822 sub	g3=2 g6=2 g5=0
120e.[ 188] x6B830003 jlt	g28=1 g3=2 3
120f.[ 18b] x69280006 jlt	g9=100000 g8=260 6
1210.[ 18c] x49280003 jne	g9=100000 g8=260 3
1211.[ 18f] x20860000 addi	g4=1 g6=2 0
1212.[ 190] x08000184 jmp	184
1213.[ 184] x00A61820 add	g3=2 g5=0 g6=1
1214.[ 185] xA8640001 srli	g3=1 g4=1 1
1215.[ 186] x00874818 mul	g9=100000 g4=0 g7=100000
1216.[ 187] x00C51822 sub	g3=1 g6=1 g5=0
1217.[ 188] x6B830003 jlt	g28=1 g3=1 3
1218.[ 189] x20A30000 addi	g5=0 g3=1 0
1219.[ 18a] xE0000000 return
121a.[ 1e3] x20210014 addi	g1=524224 g1=524224 20
121b.[ 1e4] x3C800001 mvhi	g4=0 1
121c.[ 1e5] x1C8086A0 mvlo	g4=65536 -31072
121d.[ 1e6] x00642018 mul	g4=100000 g3=0 g4=100000
121e.[ 1e7] x8C28000C ldi	g1=524244 g8=260 12
121f.[ 1e8] x01044022 sub	g8=260 g8=260 g4=0
1220.[ 1e9] x68030009 jlt	g0=0 g3=0 9
1221.[ 1ea] x49400003 jne	g10=0 g0=0 3
1222.[ 1eb] x200B0000 addi	g0=0 g11=0 0
1223.[ 1ec] x080001F1 jmp	1f1
1224.[ 1f1] x080001F6 jmp	1f6
1225.[ 1f6] x20072710 addi	g0=0 g7=100000 10000
1226.[ 1f7] x20050000 addi	g0=0 g5=0 0
1227.[ 1f8] x2006000A addi	g0=0 g6=1 10
1228.[ 1f9] xAC280010 sti	g1=524244 g8=260 16
1229.[ 1fa] x40210018 subi	g1=524244 g1=524244 24
122a.[ 1fb] xC0000184 call	184
122b.[ 184] x00A61820 add	g3=0 g5=0 g6=10
122c.[ 185] xA8640001 srli	g3=10 g4=0 1
122d.[ 186] x00874818 mul	g9=0 g4=5 g7=10000
122e.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
122f.[ 188] x6B830003 jlt	g28=1 g3=10 3
1230.[ 18b] x69280006 jlt	g9=50000 g8=260 6
1231.[ 18c] x49280003 jne	g9=50000 g8=260 3
1232.[ 18f] x20860000 addi	g4=5 g6=10 0
1233.[ 190] x08000184 jmp	184
1234.[ 184] x00A61820 add	g3=10 g5=0 g6=5
1235.[ 185] xA8640001 srli	g3=5 g4=5 1
1236.[ 186] x00874818 mul	g9=50000 g4=2 g7=10000
1237.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
1238.[ 188] x6B830003 jlt	g28=1 g3=5 3
1239.[ 18b] x69280006 jlt	g9=20000 g8=260 6
123a.[ 18c] x49280003 jne	g9=20000 g8=260 3
123b.[ 18f] x20860000 addi	g4=2 g6=5 0
123c.[ 190] x08000184 jmp	184
123d.[ 184] x00A61820 add	g3=5 g5=0 g6=2
123e.[ 185] xA8640001 srli	g3=2 g4=2 1
123f.[ 186] x00874818 mul	g9=20000 g4=1 g7=10000
1240.[ 187] x00C51822 sub	g3=2 g6=2 g5=0
1241.[ 188] x6B830003 jlt	g28=1 g3=2 3
1242.[ 18b] x69280006 jlt	g9=10000 g8=260 6
1243.[ 18c] x49280003 jne	g9=10000 g8=260 3
1244.[ 18f] x20860000 addi	g4=1 g6=2 0
1245.[ 190] x08000184 jmp	184
1246.[ 184] x00A61820 add	g3=2 g5=0 g6=1
1247.[ 185] xA8640001 srli	g3=1 g4=1 1
1248.[ 186] x00874818 mul	g9=10000 g4=0 g7=10000
1249.[ 187] x00C51822 sub	g3=1 g6=1 g5=0
124a.[ 188] x6B830003 jlt	g28=1 g3=1 3
124b.[ 189] x20A30000 addi	g5=0 g3=1 0
124c.[ 18a] xE0000000 return
124d.[ 1fc] x20210018 addi	g1=524220 g1=524220 24
124e.[ 1fd] x20042710 addi	g0=0 g4=0 10000
124f.[ 1fe] x00642018 mul	g4=10000 g3=0 g4=10000
1250.[ 1ff] x8C280010 ldi	g1=524244 g8=260 16
1251.[ 200] x01044022 sub	g8=260 g8=260 g4=0
1252.[ 201] x68030009 jlt	g0=0 g3=0 9
1253.[ 202] x49600003 jne	g11=0 g0=0 3
1254.[ 203] x200A0000 addi	g0=0 g10=0 0
1255.[ 204] x08000209 jmp	209
1256.[ 209] x0800020E jmp	20e
1257.[ 20e] x200703E8 addi	g0=0 g7=10000 1000
1258.[ 20f] x20050000 addi	g0=0 g5=0 0
1259.[ 210] x2006000A addi	g0=0 g6=1 10
125a.[ 211] xAC280014 sti	g1=524244 g8=260 20
125b.[ 212] x4021001C subi	g1=524244 g1=524244 28
125c.[ 213] xC0000184 call	184
125d.[ 184] x00A61820 add	g3=0 g5=0 g6=10
125e.[ 185] xA8640001 srli	g3=10 g4=0 1
125f.[ 186] x00874818 mul	g9=0 g4=5 g7=1000
1260.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
1261.[ 188] x6B830003 jlt	g28=1 g3=10 3
1262.[ 18b] x69280006 jlt	g9=5000 g8=260 6
1263.[ 18c] x49280003 jne	g9=5000 g8=260 3
1264.[ 18f] x20860000 addi	g4=5 g6=10 0
1265.[ 190] x08000184 jmp	184
1266.[ 184] x00A61820 add	g3=10 g5=0 g6=5
1267.[ 185] xA8640001 srli	g3=5 g4=5 1
1268.[ 186] x00874818 mul	g9=5000 g4=2 g7=1000
1269.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
126a.[ 188] x6B830003 jlt	g28=1 g3=5 3
126b.[ 18b] x69280006 jlt	g9=2000 g8=260 6
126c.[ 18c] x49280003 jne	g9=2000 g8=260 3
126d.[ 18f] x20860000 addi	g4=2 g6=5 0
126e.[ 190] x08000184 jmp	184
126f.[ 184] x00A61820 add	g3=5 g5=0 g6=2
1270.[ 185] xA8640001 srli	g3=2 g4=2 1
1271.[ 186] x00874818 mul	g9=2000 g4=1 g7=1000
1272.[ 187] x00C51822 sub	g3=2 g6=2 g5=0
1273.[ 188] x6B830003 jlt	g28=1 g3=2 3
1274.[ 18b] x69280006 jlt	g9=1000 g8=260 6
1275.[ 18c] x49280003 jne	g9=1000 g8=260 3
1276.[ 18f] x20860000 addi	g4=1 g6=2 0
1277.[ 190] x08000184 jmp	184
1278.[ 184] x00A61820 add	g3=2 g5=0 g6=1
1279.[ 185] xA8640001 srli	g3=1 g4=1 1
127a.[ 186] x00874818 mul	g9=1000 g4=0 g7=1000
127b.[ 187] x00C51822 sub	g3=1 g6=1 g5=0
127c.[ 188] x6B830003 jlt	g28=1 g3=1 3
127d.[ 189] x20A30000 addi	g5=0 g3=1 0
127e.[ 18a] xE0000000 return
127f.[ 214] x2021001C addi	g1=524216 g1=524216 28
1280.[ 215] x606403E8 muli	g3=0 g4=0 1000
1281.[ 216] x8C280014 ldi	g1=524244 g8=260 20
1282.[ 217] x01044022 sub	g8=260 g8=260 g4=0
1283.[ 218] x68030009 jlt	g0=0 g3=0 9
1284.[ 219] x49400003 jne	g10=0 g0=0 3
1285.[ 21a] x200B0000 addi	g0=0 g11=0 0
1286.[ 21b] x08000220 jmp	220
1287.[ 220] x08000225 jmp	225
1288.[ 225] x20070064 addi	g0=0 g7=1000 100
1289.[ 226] x20050000 addi	g0=0 g5=0 0
128a.[ 227] x2006000A addi	g0=0 g6=1 10
128b.[ 228] xAC280018 sti	g1=524244 g8=260 24
128c.[ 229] x40210020 subi	g1=524244 g1=524244 32
128d.[ 22a] xC0000184 call	184
128e.[ 184] x00A61820 add	g3=0 g5=0 g6=10
128f.[ 185] xA8640001 srli	g3=10 g4=0 1
1290.[ 186] x00874818 mul	g9=0 g4=5 g7=100
1291.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
1292.[ 188] x6B830003 jlt	g28=1 g3=10 3
1293.[ 18b] x69280006 jlt	g9=500 g8=260 6
1294.[ 18c] x49280003 jne	g9=500 g8=260 3
1295.[ 18f] x20860000 addi	g4=5 g6=10 0
1296.[ 190] x08000184 jmp	184
1297.[ 184] x00A61820 add	g3=10 g5=0 g6=5
1298.[ 185] xA8640001 srli	g3=5 g4=5 1
1299.[ 186] x00874818 mul	g9=500 g4=2 g7=100
129a.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
129b.[ 188] x6B830003 jlt	g28=1 g3=5 3
129c.[ 18b] x69280006 jlt	g9=200 g8=260 6
129d.[ 191] x20850000 addi	g4=2 g5=0 0
129e.[ 192] x08000184 jmp	184
129f.[ 184] x00A61820 add	g3=5 g5=2 g6=5
12a0.[ 185] xA8640001 srli	g3=7 g4=2 1
12a1.[ 186] x00874818 mul	g9=200 g4=3 g7=100
12a2.[ 187] x00C51822 sub	g3=7 g6=5 g5=2
12a3.[ 188] x6B830003 jlt	g28=1 g3=3 3
12a4.[ 18b] x69280006 jlt	g9=300 g8=260 6
12a5.[ 18c] x49280003 jne	g9=300 g8=260 3
12a6.[ 18f] x20860000 addi	g4=3 g6=5 0
12a7.[ 190] x08000184 jmp	184
12a8.[ 184] x00A61820 add	g3=3 g5=2 g6=3
12a9.[ 185] xA8640001 srli	g3=5 g4=3 1
12aa.[ 186] x00874818 mul	g9=300 g4=2 g7=100
12ab.[ 187] x00C51822 sub	g3=5 g6=3 g5=2
12ac.[ 188] x6B830003 jlt	g28=1 g3=1 3
12ad.[ 189] x20A30000 addi	g5=2 g3=1 0
12ae.[ 18a] xE0000000 return
12af.[ 22b] x20210020 addi	g1=524212 g1=524212 32
12b0.[ 22c] x60640064 muli	g3=2 g4=2 100
12b1.[ 22d] x8C280018 ldi	g1=524244 g8=260 24
12b2.[ 22e] x01044022 sub	g8=260 g8=260 g4=200
12b3.[ 22f] x68030009 jlt	g0=0 g3=2 9
12b4.[ 238] x20040030 addi	g0=0 g4=200 48
12b5.[ 239] x00831820 add	g3=2 g4=48 g3=2
12b6.[ 23a] x04600001 output	g3=50
12b7.[ 23b] x200A0001 addi	g0=0 g10=0 1
12b8.[ 23c] x2007000A addi	g0=0 g7=100 10
12b9.[ 23d] x20050000 addi	g0=0 g5=2 0
12ba.[ 23e] x2006000A addi	g0=0 g6=3 10
12bb.[ 23f] xAC28001C sti	g1=524244 g8=60 28
12bc.[ 240] x40210024 subi	g1=524244 g1=524244 36

12bd.[ 241] xC0000184 call	184
12be.[ 184] x00A61820 add	g3=50 g5=0 g6=10
12bf.[ 185] xA8640001 srli	g3=10 g4=48 1
12c0.[ 186] x00874818 mul	g9=200 g4=5 g7=10
12c1.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
12c2.[ 188] x6B830003 jlt	g28=1 g3=10 3
12c3.[ 18b] x69280006 jlt	g9=50 g8=60 6
12c4.[ 191] x20850000 addi	g4=5 g5=0 0

12c5.[ 192] x08000184 jmp	184
12c6.[ 184] x00A61820 add	g3=10 g5=5 g6=10
12c7.[ 185] xA8640001 srli	g3=15 g4=5 1
12c8.[ 186] x00874818 mul	g9=50 g4=7 g7=10
12c9.[ 187] x00C51822 sub	g3=15 g6=10 g5=5
12ca.[ 188] x6B830003 jlt	g28=1 g3=5 3
12cb.[ 18b] x69280006 jlt	g9=70 g8=60 6
12cc.[ 18c] x49280003 jne	g9=70 g8=60 3
12cd.[ 18f] x20860000 addi	g4=7 g6=10 0

12ce.[ 190] x08000184 jmp	184
12cf.[ 184] x00A61820 add	g3=5 g5=5 g6=7
12d0.[ 185] xA8640001 srli	g3=12 g4=7 1
12d1.[ 186] x00874818 mul	g9=70 g4=6 g7=10
12d2.[ 187] x00C51822 sub	g3=12 g6=7 g5=5
12d3.[ 188] x6B830003 jlt	g28=1 g3=2 3
12d4.[ 18b] x69280006 jlt	g9=60 g8=60 6
12d5.[ 18c] x49280003 jne	g9=60 g8=60 3
12d6.[ 18d] x20830000 addi	g4=6 g3=2 0
12d7.[ 18e] xE0000000 return

12d8.[ 242] x20210024 addi	g1=524208 g1=524208 36
12d9.[ 243] x6064000A muli	g3=6 g4=6 10
12da.[ 244] x8C28001C ldi	g1=524244 g8=60 28
12db.[ 245] x01042022 sub	g4=60 g8=60 g4=60
12dc.[ 246] x68030009 jlt	g0=0 g3=6 9
12dd.[ 24f] x20050030 addi	g0=0 g5=5 48
12de.[ 250] x00A31820 add	g3=6 g5=48 g3=6
12df.[ 251] x04600001 output	g3=54
12e0.[ 252] x20050001 addi	g0=0 g5=48 1
12e1.[ 253] x20030030 addi	g0=0 g3=54 48
12e2.[ 254] x00641820 add	g3=48 g3=48 g4=0
12e3.[ 255] x04600001 output	g3=48
12e4.[ 256] xE0000000 return
